Name,URL,Website,LinkedIn,Email,Phone,City/Region,BC Region,Category,AI Focus Areas,Year Founded,Size,Short Blurb,Key People,Latitude,Longitude,Logo,PercentComplete
"Responsive AI / Responsive AI (Responsive Inc.)","https://www.notion.so/Responsive-AI-Responsive-AI-Responsive-Inc-244c6f799a338160afb1de81a68415f0",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"RBC Borealis / RBC Borealis AI (Vancouver Lab)","https://www.notion.so/RBC-Borealis-RBC-Borealis-AI-Vancouver-Lab-244c6f799a3381d1a3afdc5b73c6b00f",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Pacific Laboratory for Artificial Intelligence (PLAI)","https://www.notion.so/Pacific-Laboratory-for-Artificial-Intelligence-PLAI-244c6f799a3381b2b202f3a7da2372ba",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"OnDeck Fisheries / OnDeck Fisheries AI","https://www.notion.so/OnDeck-Fisheries-OnDeck-Fisheries-AI-244c6f799a33817bbed0ec5dcb88c237",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Olive / Olive Technologies, Inc","https://www.notion.so/Olive-Olive-Technologies-Inc-244c6f799a3381ae9863ca22999cfabe",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Motion Metrics / Weir Motion Metrics","https://www.notion.so/Motion-Metrics-Weir-Motion-Metrics-244c6f799a33811e995dc7e4602b9646",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Microsoft Research Asia Vancouver / Microsoft Vancouver","https://www.notion.so/Microsoft-Research-Asia-Vancouver-Microsoft-Vancouver-244c6f799a3381388b2bfae793475b11",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Kindred / Kindred AI","https://www.notion.so/Kindred-Kindred-AI-244c6f799a338101b5a9d02ed3098620",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Hugo / Hugo Inc","https://www.notion.so/Hugo-Hugo-Inc-244c6f799a33818a9c98e7724a78fffb",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Genesis AI / Genesis AI Corp","https://www.notion.so/Genesis-AI-Genesis-AI-Corp-244c6f799a3381ec8e92e11b9ea7eef2",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
